estado,num_muestra,corte,candidato,LI,LS
COAH,26,50,CAND_3,1.34,1.6
COAH,26,50,CAND_4,11.76,13.09
COAH,26,50,CAND_5,7.85,9.2
COAH,26,50,OTROS,1.68,2.01
COAH,26,50,PART,57.1,58.71
COAH,27,50,CAND_0,34.53,36.97
COAH,27,50,CAND_1,38.68,41.67
COAH,27,50,CAND_2,1.28,1.62
COAH,27,50,CAND_3,1.33,1.6
COAH,27,50,CAND_4,10.4,11.48
COAH,27,50,CAND_5,7.49,9
COAH,27,50,OTROS,1.78,2.16
COAH,27,50,PART,57.07,58.91
COAH,28,50,CAND_0,34.67,37.68
COAH,28,50,CAND_1,37.73,41.19
COAH,28,50,CAND_2,1.38,1.87
COAH,28,50,CAND_3,1.19,1.45
COAH,28,50,CAND_4,10.76,12.12
COAH,28,50,CAND_5,7.45,8.84
COAH,28,50,OTROS,1.7,1.97
COAH,28,50,PART,57.47,59.1
COAH,29,50,CAND_0,35.08,37.7
COAH,29,50,CAND_1,35.44,38.43
COAH,29,50,CAND_2,1.43,2.03
COAH,29,50,CAND_3,1.35,1.62
COAH,29,50,CAND_4,11.53,12.71
COAH,29,50,CAND_5,8.68,10.36
COAH,29,50,OTROS,1.68,1.95
COAH,29,50,PART,57.01,58.93
COAH,30,50,CAND_0,34.51,37.27
COAH,30,50,CAND_1,37.75,41.1
COAH,30,50,CAND_2,1.42,1.84
COAH,30,50,CAND_3,1.33,1.6
COAH,30,50,CAND_4,11.02,12.08
COAH,30,50,CAND_5,7.61,8.97
COAH,30,50,OTROS,1.62,1.88
COAH,30,50,PART,57.66,59.24
COAH,31,50,CAND_0,35.03,37.61
COAH,31,50,CAND_1,36.25,38.92
COAH,31,50,CAND_2,1.28,1.74
COAH,31,50,CAND_3,1.4,1.71
COAH,31,50,CAND_4,11.99,13.16
COAH,31,50,CAND_5,7.95,9.36
COAH,31,50,OTROS,1.66,1.94
COAH,31,50,PART,56.29,57.76
COAH,32,50,CAND_0,33.21,35.83
COAH,32,50,CAND_1,38.88,41.79
COAH,32,50,CAND_2,1.8,2.49
COAH,32,50,CAND_3,1.36,1.65
COAH,32,50,CAND_4,11.51,12.53
COAH,32,50,CAND_5,6.8,8.35
COAH,32,50,OTROS,1.76,2.04
COAH,32,50,PART,56.89,58.72
COAH,33,50,CAND_0,36.18,38.82
COAH,33,50,CAND_1,35.33,37.85
COAH,33,50,CAND_2,1.43,1.75
COAH,33,50,CAND_3,1.43,1.72
COAH,33,50,CAND_4,11.84,12.95
COAH,33,50,CAND_5,7.86,9.39
COAH,33,50,OTROS,1.58,1.86
COAH,33,50,PART,57.24,58.78
COAH,34,50,CAND_0,36.84,39.74
COAH,34,50,CAND_1,33.53,36.66
COAH,34,50,CAND_2,1.48,1.99
COAH,34,50,CAND_3,1.41,1.63
COAH,34,50,CAND_4,11.39,12.55
COAH,34,50,CAND_5,8.92,10.42
COAH,34,50,OTROS,1.55,1.9
COAH,34,50,PART,57.44,59.24
COAH,35,50,CAND_0,34.29,36.61
COAH,35,50,CAND_1,38.15,41.01
COAH,35,50,CAND_2,1.46,1.84
COAH,35,50,CAND_3,1.37,1.63
COAH,35,50,CAND_4,11.07,12.14
COAH,35,50,CAND_5,7.6,8.94
COAH,35,50,OTROS,1.77,2.11
COAH,35,50,PART,57.65,59.34
COAH,36,50,CAND_0,35.97,38.9
COAH,36,50,CAND_1,35.09,38.31
COAH,36,50,CAND_2,1.31,1.69
COAH,36,50,CAND_3,1.23,1.5
COAH,36,50,CAND_4,10.87,12.04
COAH,36,50,CAND_5,8.96,10.37
COAH,36,50,OTROS,1.69,2.05
COAH,36,50,PART,57.21,58.76
COAH,37,50,CAND_0,33.99,36.43
COAH,37,50,CAND_1,38.1,40.8
COAH,37,50,CAND_2,1.62,2.15
COAH,37,50,CAND_3,1.28,1.56
COAH,37,50,CAND_4,11.55,12.64
COAH,37,50,CAND_5,7.3,8.72
COAH,37,50,OTROS,1.79,2.06
COAH,37,50,PART,57.58,58.96
COAH,38,50,CAND_0,36.07,38.94
COAH,38,50,CAND_1,34.51,37.48
COAH,38,50,CAND_2,1.36,1.81
COAH,38,50,CAND_3,1.3,1.55
COAH,38,50,CAND_4,12.06,13.34
COAH,38,50,CAND_5,8.32,10.11
COAH,38,50,OTROS,1.46,1.69
COAH,38,50,PART,57.8,59.49
COAH,39,50,CAND_0,34.89,37.51
COAH,39,50,CAND_1,36,38.98
COAH,39,50,CAND_2,1.59,2.23
COAH,39,50,CAND_3,1.4,1.66
COAH,39,50,CAND_4,11.79,13.08
COAH,39,50,CAND_5,7.94,9.24
COAH,39,50,OTROS,1.7,2
COAH,39,50,PART,56.4,58.25
COAH,40,50,CAND_0,33.5,36.26
COAH,40,50,CAND_1,36.85,39.76
COAH,40,50,CAND_2,1.56,2.06
COAH,40,50,CAND_3,1.44,1.76
COAH,40,50,CAND_4,11.82,13.26
COAH,40,50,CAND_5,8.19,9.84
COAH,40,50,OTROS,1.68,2.02
COAH,40,50,PART,56.87,58.72
COAH,41,50,CAND_0,36.37,39.49
COAH,41,50,CAND_1,35.58,38.69
COAH,41,50,CAND_2,1.35,1.88
COAH,41,50,CAND_3,1.23,1.5
COAH,41,50,CAND_4,10.72,12.07
COAH,41,50,CAND_5,7.95,9.6
COAH,41,50,OTROS,1.63,1.93
COAH,41,50,PART,57,58.68
COAH,42,50,CAND_0,33.73,36.06
COAH,42,50,CAND_1,37.59,40.04
COAH,42,50,CAND_2,1.44,1.78
COAH,42,50,CAND_3,1.29,1.53
COAH,42,50,CAND_4,12.58,13.82
COAH,42,50,CAND_5,7.58,8.92
COAH,42,50,OTROS,1.69,1.95
COAH,42,50,PART,56.39,57.88
COAH,43,50,CAND_0,35.01,37.95
COAH,43,50,CAND_1,37.82,41.07
COAH,43,50,CAND_2,1.45,1.95
COAH,43,50,CAND_3,1.24,1.47
COAH,43,50,CAND_4,10.93,12
COAH,43,50,CAND_5,7.14,8.44
COAH,43,50,OTROS,1.64,1.89
COAH,43,50,PART,57.94,59.42
COAH,44,50,CAND_0,36.47,39.4
COAH,44,50,CAND_1,34.6,37.22
COAH,44,50,CAND_2,1.34,1.87
COAH,44,50,CAND_3,1.29,1.6
COAH,44,50,CAND_4,11.72,12.87
COAH,44,50,CAND_5,8.45,9.9
COAH,44,50,OTROS,1.51,1.77
COAH,44,50,PART,57.05,59.04
COAH,45,50,CAND_0,33.03,35.25
COAH,45,50,CAND_1,38.89,41.51
COAH,45,50,CAND_2,1.46,2.06
COAH,45,50,CAND_3,1.42,1.68
COAH,45,50,CAND_4,11.81,12.99
COAH,45,50,CAND_5,7.43,8.77
COAH,45,50,OTROS,1.7,1.99
COAH,45,50,PART,56.4,57.86
COAH,46,50,CAND_0,33.91,36.23
COAH,46,50,CAND_1,37.78,40.43
COAH,46,50,CAND_2,1.47,1.84
COAH,46,50,CAND_3,1.42,1.73
COAH,46,50,CAND_4,12,13.13
COAH,46,50,CAND_5,7.49,9.04
COAH,46,50,OTROS,1.63,1.9
COAH,46,50,PART,56.52,57.94
COAH,47,50,CAND_0,34.54,37.43
COAH,47,50,CAND_1,36.5,39.35
COAH,47,50,CAND_2,1.39,1.88
COAH,47,50,CAND_3,1.35,1.8
COAH,47,50,CAND_4,11.63,12.87
COAH,47,50,CAND_5,8.15,9.5
COAH,47,50,OTROS,1.68,1.92
COAH,47,50,PART,56.21,57.89
COAH,48,50,CAND_0,34.58,37.21
COAH,48,50,CAND_1,38.13,41.29
COAH,48,50,CAND_2,1.36,1.84
COAH,48,50,CAND_3,1.33,1.6
COAH,48,50,CAND_4,11.06,12.37
COAH,48,50,CAND_5,7.1,8.47
COAH,48,50,OTROS,1.68,1.96
COAH,48,50,PART,56.19,58.11
COAH,49,50,CAND_0,33.32,36.31
COAH,49,50,CAND_1,38.64,41.73
COAH,49,50,CAND_2,1.51,1.87
COAH,49,50,CAND_3,1.46,1.76
COAH,49,50,CAND_4,11.26,12.54
COAH,49,50,CAND_5,7.12,8.3
COAH,49,50,OTROS,1.89,2.28
COAH,49,50,PART,56.19,57.91
COAH,50,50,CAND_0,35.46,38.49
COAH,50,50,CAND_1,35.67,38.91
COAH,50,50,CAND_2,1.43,1.79
COAH,50,50,CAND_3,1.3,1.56
COAH,50,50,CAND_4,11.8,13.03
COAH,50,50,CAND_5,7.85,9.19
COAH,50,50,OTROS,1.61,1.92
COAH,50,50,PART,56.66,58.35
COAH,51,50,CAND_0,33.34,36.41
COAH,51,50,CAND_1,38.04,41.4
COAH,51,50,CAND_2,1.53,1.93
COAH,51,50,CAND_3,1.5,1.93
COAH,51,50,CAND_4,11.12,12.22
COAH,51,50,CAND_5,7.65,9.14
COAH,51,50,OTROS,1.75,2.03
COAH,51,50,PART,56.01,57.9
COAH,52,50,CAND_0,33.77,36.01
